# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 454 346 120 5867 2174
p 2 337 500 83 8775 2223
p 2 295 590 35 9951 2120
p 2 267 621 32 10824 2151
p 2 258 618 44 11213 2062
p 2 219 646 55 11580 2007
p 2 147 726 47 12107 1876
p 2 123 728 69 12279 1878
p 2 122 780 18 12219 1796
p 2 119 740 61 12314 1827
p 2 119 798 3 12740 1831
p 2 78 840 2 13265 1823
p 2 77 807 36 12983 1758
p 2 77 840 3 13379 1780
p 2 77 815 28 13450 1748
p 2 77 834 9 13401 1768
p 2 75 825 20 13508 1735
p 2 75 836 9 13574 1743
p 2 75 832 13 13392 1726
p 2 72 847 1 13771 1762
p 2 70 835 15 13433 1724
p 2 70 836 14 13676 1710
p 2 68 820 32 13229 1659
p 2 0 794 126 3008 1024
p 2 0 638 282 1844 794
p 2 0 592 328 1586 721
p 2 0 510 410 1397 645
p 2 0 430 490 1036 541
p 2 0 375 545 965 498
p 2 0 341 579 942 466
p 2 0 312 608 806 435
p 2 0 320 600 811 436
p 2 0 258 662 623 377
p 2 0 268 652 669 385
p 2 0 243 677 609 365
p 2 0 256 664 604 368
p 2 0 257 663 643 375
p 2 0 199 721 545 324
p 2 0 187 733 494 309
p 2 0 194 726 524 317
p 2 0 200 720 488 321
p 2 0 144 776 413 272
p 2 0 177 743 483 304
p 2 0 208 712 500 325
p 2 0 146 774 388 271
p 2 0 128 792 389 254
p 2 0 128 792 371 255
p 2 0 120 800 351 249
p 2 0 149 771 430 275
p 2 0 178 742 426 290
p 2 0 115 805 345 240
p 2 0 110 810 342 239
p 2 0 106 814 321 232
p 2 0 95 825 319 224
p 2 0 143 777 385 268
p 2 0 108 812 355 239
p 2 0 70 850 265 203
p 2 0 82 838 295 213
p 2 0 103 817 315 231
p 2 0 64 856 262 196
p 2 0 112 808 331 240
p 2 0 103 817 283 227
p 2 0 85 835 264 212
p 2 0 79 841 273 211
p 2 0 96 824 278 222
p 2 0 89 831 300 220
p 2 0 86 834 275 213
p 2 0 93 827 267 219
p 2 0 48 872 213 180
p 2 0 79 841 267 206
p 2 0 58 862 223 188
p 2 0 49 871 235 183
p 2 0 71 849 270 202
p 2 0 73 847 260 203
p 2 0 44 876 208 176
p 2 0 50 870 228 184
p 2 0 56 864 236 187
p 2 0 43 877 211 178
p 2 0 67 853 259 198
p 2 0 63 857 222 192
p 2 0 37 883 204 171
p 2 0 69 851 242 198
p 2 0 59 861 224 189
p 2 0 43 877 202 174
p 2 0 47 873 219 181
p 2 0 55 865 219 185
p 2 0 35 885 196 171
p 2 0 50 870 220 183
p 2 0 52 868 225 185
p 2 0 35 885 191 169
p 2 0 46 874 206 179
p 2 0 96 824 263 220
p 2 0 41 879 203 173
p 2 0 52 868 228 186
p 2 0 41 879 203 173
p 2 0 40 880 208 174
p 2 0 44 876 212 178
p 2 0 49 871 207 180
p 2 0 24 896 171 159
p 2 0 41 879 212 176
p 2 0 43 877 195 175
p 2 0 25 895 178 161
p 2 0 44 876 206 177
p 2 0 49 871 217 183
p 2 0 33 887 187 167
p 2 0 53 867 220 182
p 2 0 47 873 211 179
p 2 0 33 887 208 168
p 2 0 34 886 201 170
p 2 0 39 881 214 173
p 2 0 22 898 171 156
p 2 0 27 893 192 161
p 2 0 39 881 203 173
p 2 0 29 891 182 163
p 2 0 53 867 210 180
p 2 0 44 876 196 174
p 2 0 36 884 182 167
p 2 0 40 880 200 173
p 2 0 36 884 189 169
p 2 0 22 898 171 157
p 2 0 35 885 201 168
p 2 0 33 887 186 167
p 2 0 19 901 170 154
p 2 0 35 885 198 169
p 2 0 38 882 191 170
p 2 0 21 899 172 157
p 2 0 31 889 189 167
p 2 0 25 895 169 161
p 2 0 19 901 170 155
p 2 0 29 891 188 164
p 2 0 35 885 189 169
p 2 0 44 876 182 173
p 2 0 36 884 186 169
p 2 0 53 867 214 184
p 2 0 20 900 166 155
p 2 0 48 872 199 179
p 2 0 31 889 182 165
p 2 0 26 894 174 160
p 2 0 43 877 209 176
p 2 0 38 882 193 171
p 2 0 22 898 167 157
p 2 0 32 888 181 166
p 2 0 31 889 177 164
p 2 0 23 897 175 158
p 2 0 30 890 184 164
p 2 0 29 891 175 164
p 2 0 20 900 171 155
p 2 0 43 877 196 175
p 2 0 48 872 191 177
p 2 0 18 902 165 152
p 2 0 36 884 202 171
p 2 0 47 873 208 179
p 2 0 14 906 155 148
p 2 0 21 899 173 155
p 2 0 28 892 177 163
p 2 0 23 897 176 158
p 2 0 23 897 175 156
p 2 0 24 896 173 159
p 2 0 15 905 161 150
p 2 0 21 899 169 156
p 2 0 28 892 180 164
p 2 0 20 900 171 156
p 2 0 21 899 181 157
p 2 0 34 886 179 167
p 2 0 25 895 171 158
p 2 0 25 895 179 160
p 2 0 32 888 188 167
p 2 0 26 894 180 160
p 2 0 24 896 177 159
p 2 0 32 888 181 166
p 2 0 19 901 161 154
p 2 0 47 873 199 177
p 2 0 26 894 177 160
p 2 0 25 895 170 159
p 2 0 28 892 185 161
p 2 0 48 872 215 182
p 2 0 39 881 193 172
p 2 0 30 890 188 164
p 2 0 34 886 192 167
p 2 0 679 241 2111 791
p 2 0 824 96 6654 1211
p 2 0 878 42 12309 1504
p 2 1 886 33 16147 1680
p 2 6 887 27 20395 1848
p 2 13 881 26 23499 1943
p 2 13 890 17 25328 1987
p 2 20 877 23 27888 2021
p 2 24 878 18 30132 2061
p 2 35 865 20 31797 2063
p 2 30 871 19 32823 2049
p 2 36 866 18 35327 2060
