# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 17640 3301
p 2 0 360 560 578 474
p 2 0 270 650 428 379
p 2 0 186 734 327 302
p 2 0 188 732 328 304
p 2 0 138 782 278 261
p 2 0 92 828 242 221
p 2 0 86 834 237 216
p 2 0 84 836 232 215
p 2 0 89 831 225 217
p 2 0 67 853 214 198
p 2 0 62 858 198 190
p 2 0 71 849 210 199
p 2 0 52 868 195 185
p 2 0 53 867 193 185
p 2 0 56 864 189 185
p 2 0 36 884 182 169
p 2 0 35 885 178 170
p 2 0 43 877 187 177
p 2 0 22 898 161 157
p 2 0 27 893 161 160
p 2 0 31 889 173 166
p 2 0 28 892 163 162
p 2 0 24 896 165 160
p 2 0 22 898 160 157
p 2 0 15 905 152 151
p 2 0 35 885 171 166
p 2 0 25 895 162 159
p 2 0 20 900 160 156
p 2 0 28 892 173 165
p 2 0 28 892 169 163
p 2 0 15 905 155 152
p 2 0 20 900 161 155
p 2 0 26 894 164 159
p 2 0 18 902 156 154
p 2 0 23 897 165 158
p 2 0 34 886 175 167
p 2 0 19 901 159 155
p 2 0 24 896 162 158
p 2 0 18 902 159 156
p 2 0 28 892 167 162
p 2 0 20 900 162 156
p 2 0 22 898 159 157
p 2 0 25 895 159 157
p 2 0 22 898 157 156
p 2 0 23 897 160 158
p 2 0 27 893 168 163
p 2 0 29 891 167 162
p 2 0 21 899 160 157
p 2 0 16 904 153 151
p 2 0 36 884 178 170
p 2 0 19 901 155 152
p 2 0 18 902 161 155
p 2 0 31 889 165 163
i 2 920 0 0 38085 3610
p 2 0 889 31 7267 1052
p 2 0 813 107 7795 979
p 2 0 817 103 7668 1005
p 2 0 796 124 8398 1000
p 2 0 791 129 8059 991
p 2 0 822 98 8210 1014
p 2 0 839 81 8557 1044
p 2 0 795 125 8289 1017
p 2 0 824 96 8336 1018
p 2 0 819 101 8394 1036
p 2 0 806 114 8477 1024
p 2 0 851 69 8475 1046
p 2 0 815 105 8488 1035
p 2 0 808 112 8335 1021
p 2 0 808 112 8483 1022
p 2 0 844 76 8578 1047
p 2 0 782 138 8483 1017
p 2 0 805 115 8379 1029
p 2 0 833 87 8407 1032
p 2 0 809 111 8415 1026
p 2 0 819 101 8328 1009
p 2 0 805 115 8506 1016
p 2 0 818 102 8512 1038
p 2 0 834 86 8499 1045
p 2 0 818 102 8543 1027
p 2 0 827 93 8356 1046
p 2 0 807 113 8378 1019
p 2 0 850 70 8487 1048
p 2 0 814 106 8629 1029
p 2 0 844 76 8483 1056
p 2 0 818 102 8476 1015
p 2 0 809 111 8429 1030
p 2 0 810 110 8561 1029
p 2 0 796 124 8216 1018
p 2 0 796 124 8405 1039
p 2 0 837 83 8488 1045
p 2 0 809 111 8440 1013
p 2 0 801 119 8467 1030
p 2 0 790 130 8493 1021
p 2 0 823 97 8603 1046
p 2 0 824 96 8724 1052
p 2 0 811 109 8417 1027
p 2 0 822 98 8506 1047
p 2 0 793 127 8558 1031
p 2 0 793 127 8586 1011
p 2 0 832 88 8489 1042
p 2 0 811 109 8620 1038
p 2 0 820 100 8648 1042
p 2 0 809 111 8610 1026
p 2 0 836 84 8560 1060
p 2 0 796 124 8578 1031
p 2 0 831 89 8498 1059
p 2 0 853 67 8604 1066
p 2 0 800 120 8639 1030
p 2 0 837 83 8491 1048
p 2 0 831 89 8762 1058
p 2 0 815 105 8604 1045
p 2 0 821 99 8456 1061
p 2 0 839 81 8563 1060
p 2 0 818 102 8459 1046
p 2 0 835 85 8521 1064
p 2 0 827 93 8677 1041
p 2 0 787 133 8570 1005
p 2 0 813 107 8379 1034
p 2 0 846 74 8656 1051
p 2 0 835 85 8670 1051
p 2 0 812 108 8487 1038
p 2 0 839 81 8523 1049
p 2 0 832 88 8490 1037
p 2 0 796 124 8432 1025
p 2 0 822 98 8493 1028
p 2 0 828 92 8547 1045
p 2 0 823 97 8631 1037
p 2 0 852 68 8833 1068
i 2 920 0 0 19750 3465
p 2 0 488 432 668 573
p 2 0 402 518 508 494
p 2 0 309 611 427 411
p 2 0 267 653 389 373
p 2 0 189 731 305 297
p 2 0 211 709 331 319
p 2 0 161 759 288 278
p 2 0 137 783 261 257
p 2 0 118 802 241 238
p 2 0 141 779 259 253
p 2 0 91 829 225 221
p 2 0 104 816 232 227
p 2 0 140 780 259 251
p 2 0 114 806 241 238
p 2 0 511 409 6416 805
p 2 0 389 531 813 488
p 2 0 234 686 522 353
p 2 0 507 413 6568 820
p 2 0 295 625 775 425
p 2 0 537 383 6748 851
p 2 0 434 486 5722 726
p 2 0 370 550 892 492
p 2 0 460 460 6332 718
p 2 0 355 565 843 470
p 2 0 230 690 462 335
p 2 0 238 682 450 341
p 2 0 154 766 342 276
p 2 0 179 741 370 290
p 2 0 121 799 297 243
p 2 0 219 701 481 340
i 2 920 0 0 18794 3426
p 2 0 524 396 686 601
p 2 0 466 454 577 555
p 2 0 330 590 431 423
p 2 0 311 609 418 402
p 2 0 268 652 373 359
