# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 0 909 11 7363 1436
p 2 1 916 3 7373 1460
p 2 0 910 10 7258 1422
p 2 0 917 3 7318 1454
p 2 0 916 4 6804 1418
p 2 0 914 6 7276 1414
i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 5155 2699
i 2 920 0 0 7140 2789
i 2 920 0 0 9080 2851
i 2 920 0 0 10996 2914
i 2 920 0 0 12287 2956
i 2 920 0 0 13881 3010
i 2 920 0 0 15252 3049
i 2 920 0 0 16586 3092
p 2 0 217 703 1581 346
p 2 0 231 689 2629 364
p 2 0 222 698 2942 363
p 2 0 208 712 2819 347
p 2 0 218 702 3047 365
p 2 0 216 704 3064 362
p 2 0 221 699 3009 364
p 2 0 213 707 2942 360
p 2 0 221 699 3158 370
p 2 0 214 706 3050 358
p 2 0 224 696 3090 374
p 2 0 220 700 3093 372
p 2 0 206 714 3001 356
p 2 0 212 708 3025 369
p 2 0 214 706 3088 357
p 2 0 217 703 3062 364
p 2 0 228 692 3125 378
p 2 0 227 693 3079 375
p 2 0 223 697 3052 373
p 2 0 230 690 3029 376
p 2 0 221 699 3045 373
p 2 0 216 704 3089 367
p 2 0 218 702 3115 374
p 2 0 217 703 2928 364
p 2 0 229 691 3064 378
p 2 0 213 707 3042 364
p 2 0 220 700 3052 374
p 2 0 220 700 3074 374
p 2 0 217 703 3030 371
p 2 0 217 703 2991 363
p 2 0 216 704 2991 357
p 2 0 208 712 3192 360
p 2 0 216 704 3025 365
p 2 0 208 712 2989 361
p 2 0 217 703 3166 374
p 2 0 218 702 3001 367
p 2 0 222 698 3110 370
p 2 0 216 704 3063 361
p 2 0 198 722 2961 348
p 2 0 207 713 2957 355
p 2 0 220 700 3216 370
p 2 0 215 705 3084 361
p 2 0 215 705 3155 364
p 2 0 220 700 3232 371
p 2 0 209 711 3040 360
p 2 0 206 714 3118 361
p 2 0 220 700 3200 372
p 2 0 231 689 3012 376
p 2 0 207 713 3054 354
p 2 0 208 712 3199 361
p 2 0 213 707 3129 365
p 2 0 209 711 3157 359
p 2 0 214 706 3265 371
p 2 0 221 699 3134 371
p 2 0 213 707 3068 360
p 2 0 209 711 3184 363
p 2 0 205 715 3173 354
p 2 0 220 700 3153 374
p 2 0 210 710 3239 367
p 2 0 219 701 3125 368
p 2 0 203 717 3075 354
p 2 0 220 700 3210 372
p 2 0 212 708 3227 363
p 2 0 208 712 3081 365
p 2 0 213 707 3230 367
p 2 0 208 712 3217 362
p 2 0 201 719 2969 356
p 2 0 214 706 3182 375
p 2 0 217 703 3133 365
p 2 0 212 708 3056 361
p 2 0 211 709 3149 364
p 2 0 216 704 3177 365
p 2 0 211 709 3043 361
p 2 0 217 703 3112 373
p 2 0 216 704 3268 362
p 2 0 208 712 3139 358
p 2 0 210 710 3170 368
p 2 0 219 701 3197 374
p 2 0 218 702 3114 369
p 2 0 209 711 3067 363
p 2 0 225 695 3139 374
p 2 0 211 709 3113 364
p 2 0 206 714 3059 356
p 2 0 222 698 3155 371
p 2 0 211 709 3174 361
p 2 0 219 701 3158 375
p 2 0 219 701 3150 366
p 2 0 213 707 3137 364
p 2 0 212 708 3069 364
p 2 0 222 698 3105 372
p 2 0 227 693 3093 372
p 2 0 210 710 3239 363
p 2 0 207 713 3087 360
p 2 0 208 712 3110 362
p 2 0 206 714 3141 357
p 2 0 209 711 2989 360
p 2 0 207 713 3124 359
p 2 0 217 703 3168 370
p 2 0 217 703 3100 371
p 2 0 212 708 3105 367
p 2 0 223 697 3048 370
p 2 0 215 705 3044 366
p 2 0 202 718 3034 355
p 2 0 214 706 3170 365
p 2 0 220 700 3001 374
p 2 0 213 707 3027 361
p 2 0 212 708 3211 368
p 2 0 214 706 3013 367
p 2 0 212 708 3056 365
p 2 0 218 702 3193 376
p 2 0 212 708 3036 359
p 2 0 213 707 3082 360
p 2 0 218 702 3177 372
p 2 0 220 700 3069 376
p 2 0 215 705 3103 364
p 2 0 212 708 3130 364
