# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 30257 3784
p 2 0 742 178 6675 1021
p 2 0 760 160 7949 1055
p 2 0 750 170 8105 1031
p 2 0 731 189 8603 1042
p 2 0 729 191 8426 1059
p 2 0 698 222 8622 1027
p 2 2 700 218 8781 1028
p 2 0 715 205 9157 1045
p 2 0 700 220 8736 1048
p 2 0 693 227 9076 1040
p 2 0 711 209 9145 1079
p 2 0 739 181 9228 1100
p 2 0 703 217 9045 1058
p 2 0 699 221 9088 1059
p 2 0 764 156 9476 1118
p 2 0 733 187 9334 1092
p 2 0 749 171 9584 1112
p 2 0 720 200 9541 1080
p 2 0 744 176 9486 1110
p 2 0 752 168 9854 1118
p 2 0 759 161 9987 1129
p 2 0 764 156 10214 1133
p 2 0 731 189 10174 1115
p 2 0 757 163 10495 1128
p 2 0 756 164 10666 1135
p 2 1 778 141 10616 1150
p 2 0 733 187 10895 1135
p 2 0 756 164 10915 1148
p 2 0 762 158 11140 1164
p 2 0 781 139 10861 1150
p 2 0 748 172 11045 1143
p 2 0 762 158 11128 1165
p 2 0 764 156 11476 1176
p 2 0 742 178 11181 1141
p 2 0 778 142 11378 1174
p 2 0 765 155 11302 1159
p 2 0 769 151 11704 1176
p 2 0 743 177 11440 1141
p 2 0 760 160 11534 1165
p 2 0 785 135 11714 1188
p 2 0 774 146 11651 1175
p 2 0 795 125 12333 1181
p 2 0 765 155 12220 1161
p 2 0 751 169 12121 1151
p 2 0 764 156 12161 1156
p 2 0 775 145 12338 1183
p 2 0 774 146 12024 1170
p 2 0 782 138 12352 1187
p 2 0 782 138 12261 1187
p 2 0 775 145 12636 1193
p 2 0 804 116 12662 1214
p 2 0 778 142 13002 1200
p 2 0 793 127 12966 1205
p 2 0 796 124 13058 1216
p 2 0 788 132 12956 1189
p 2 0 802 118 13312 1209
p 2 0 793 127 13309 1208
p 2 0 794 126 13560 1201
p 2 0 809 111 13441 1227
p 2 0 788 132 13260 1198
p 2 0 779 141 13334 1211
p 2 0 807 113 13511 1220
p 2 0 809 111 13143 1218
p 2 0 797 123 13441 1208
p 2 0 786 134 13509 1204
p 2 0 814 106 13684 1238
p 2 0 818 102 13254 1222
p 2 0 799 121 13549 1211
p 2 0 811 109 13461 1238
p 2 0 817 103 13853 1259
p 2 0 812 108 13648 1251
p 2 0 792 128 13965 1235
p 2 0 794 126 13990 1238
p 2 0 805 115 14377 1250
p 2 0 805 115 14402 1233
p 2 0 813 107 14719 1247
p 2 0 822 98 14558 1263
p 2 1 803 116 14832 1259
p 2 0 796 124 14696 1250
p 2 0 802 118 14838 1256
p 2 0 801 119 14824 1248
p 2 0 820 100 14948 1275
p 2 0 817 103 14909 1264
p 2 0 808 112 15022 1268
p 2 2 819 99 15051 1287
p 2 0 816 104 15597 1294
p 2 0 817 103 15153 1287
p 2 0 824 96 15549 1287
p 2 0 819 101 15570 1289
p 2 0 836 84 16065 1320
p 2 0 821 99 15932 1291
p 2 0 816 104 16114 1287
p 2 0 811 109 16478 1297
p 2 0 812 108 16622 1309
p 2 2 817 101 17245 1337
p 2 0 809 111 17057 1325
p 2 0 820 100 17301 1318
p 2 0 815 105 17448 1307
p 2 0 836 84 17788 1345
p 2 0 818 102 17401 1294
p 2 0 839 81 17414 1324
p 2 0 827 93 17587 1318
p 2 0 837 83 17584 1331
p 2 0 828 92 18273 1314
p 2 0 839 81 17898 1339
p 2 0 822 98 18261 1333
p 2 1 835 84 18686 1365
p 2 1 832 87 19165 1363
p 2 0 840 80 19070 1355
p 2 1 819 100 18929 1366
p 2 0 840 80 19086 1359
p 2 0 831 89 19357 1351
p 2 0 850 70 19376 1379
p 2 0 823 97 19484 1350
p 2 0 839 81 19031 1371
p 2 0 829 91 19320 1360
p 2 0 845 75 18927 1365
p 2 0 814 106 19106 1341
p 2 0 834 86 19262 1377
p 2 0 826 94 19320 1369
p 2 0 838 82 19320 1378
p 2 2 826 92 19494 1373
p 2 0 833 87 19547 1370
p 2 0 825 95 19685 1360
p 2 0 831 89 19409 1374
p 2 0 824 96 19597 1370
p 2 0 826 94 19684 1368
p 2 0 829 91 19888 1384
p 2 0 836 84 19411 1382
p 2 0 818 102 19851 1380
p 2 0 822 98 19667 1381
p 2 0 841 79 19789 1396
p 2 0 826 94 19490 1357
p 2 0 822 98 19837 1379
p 2 0 820 100 19950 1382
p 2 0 831 89 20308 1393
p 2 0 832 88 19672 1381
p 2 0 809 111 20230 1378
p 2 0 825 95 20086 1386
p 2 0 825 95 20334 1393
p 2 0 818 102 19648 1372
p 2 0 825 95 20028 1401
p 2 0 815 105 19708 1394
p 2 0 823 97 20090 1407
p 2 0 830 90 19328 1407
p 2 0 822 98 19867 1398
p 2 0 830 90 19421 1416
p 2 0 813 107 19691 1364
p 2 0 817 103 19417 1379
p 2 0 811 109 19725 1366
p 2 0 808 112 19496 1348
p 2 0 814 106 19832 1374
p 2 0 818 102 19338 1368
p 2 0 814 106 19606 1374
